,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
135,GSW,GSW vs. OKC,11/3/16,48,0.596,0.225,0.162,16.2,0.349,0.46,0.322,0.156,15.6,0.295,OKC,1,2,122,96,26,1,1
136,OKC,OKC @ GSW,11/3/16,48,0.46,0.322,0.156,15.6,0.295,0.596,0.225,0.162,16.2,0.349,GSW,0,1,96,122,-26,0,2
137,DEN,DEN @ MIN,11/3/16,48,0.519,0.309,0.206,20.6,0.194,0.449,0.284,0.158,15.8,0.275,MIN,0,3,102,99,3,1,2
138,PHX,PHX @ NOP,11/4/16,53,0.473,0.301,0.146,14.6,0.245,0.511,0.298,0.082,8.2,0.113,NOP,0,2,112,111,1,1,2
139,BKN,BKN vs. CHA,11/4/16,48,0.454,0.241,0.152,15.2,0.143,0.477,0.279,0.152,15.2,0.152,CHA,1,2,95,99,-4,0,2
140,POR,POR @ DAL,11/4/16,48,0.525,0.325,0.142,14.2,0.159,0.47,0.241,0.133,13.3,0.167,DAL,0,2,105,95,10,1,2
141,LAL,LAL vs. GSW,11/4/16,48,0.516,0.221,0.153,15.3,0.34,0.483,0.233,0.189,18.9,0.205,GSW,1,2,117,97,20,1,1
142,LAC,LAC @ MEM,11/4/16,48,0.424,0.388,0.119,11.9,0.239,0.423,0.262,0.191,19.1,0.265,MEM,0,2,99,88,11,1,2
143,NYK,NYK @ CHI,11/4/16,48,0.567,0.236,0.054,5.4,0.289,0.488,0.321,0.138,13.8,0.341,CHI,0,2,117,104,13,1,2
144,CHA,CHA @ BKN,11/4/16,48,0.477,0.279,0.152,15.2,0.152,0.454,0.241,0.152,15.2,0.143,BKN,0,2,99,95,4,1,2
145,UTA,UTA vs. SAS,11/4/16,48,0.444,0.3,0.128,12.8,0.184,0.482,0.265,0.116,11.6,0.214,SAS,1,2,86,100,-14,0,3
