,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
176,DAL,11/14/2017,48,46.9%,0.222,15.2,11.4%,48.1%,0.342,12.6,18.6%,SAS,2,3,0,1,-6
177,DAL,11/17/2017,48,41.9%,0.198,11.8,22.9%,54.2%,0.27399999999999997,10.7,26.8%,MIN,3,2,0,1,-24
178,DAL,11/18/2017,48,60.1%,0.24100000000000002,18.3,18.9%,41.9%,0.419,14.0,16.0%,MIL,1,3,1,1,32
179,DAL,11/20/2017,53,44.3%,0.20800000000000002,10.2,14.3%,53.0%,0.31,15.8,11.9%,BOS,2,2,0,1,-8
180,DAL,11/22/2017,48,47.8%,0.17600000000000002,7.8,8.0%,50.0%,0.17300000000000001,17.3,14.3%,MEM,2,2,1,0,1
181,DAL,11/25/2017,48,59.3%,0.147,19.1,20.5%,44.4%,0.163,17.9,18.6%,OKC,3,1,1,1,16
182,DAL,11/27/2017,48,56.5%,0.2,11.1,9.3%,58.5%,0.256,10.3,10.0%,SAS,2,2,0,0,-7
183,DAL,11/29/2017,48,51.8%,0.25,11.3,15.6%,52.8%,0.278,13.9,27.5%,BKN,2,2,0,1,-5
184,DAL,12/02/2017,48,55.7%,0.32899999999999996,18.4,35.7%,38.4%,0.267,11.4,22.0%,LAC,3,2,1,1,26
185,DAL,12/04/2017,48,64.0%,0.198,7.3,12.8%,49.5%,0.253,7.5,28.8%,DEN,2,2,1,1,17
186,DAL,12/06/2017,48,44.8%,0.198,11.2,12.0%,48.3%,0.195,12.3,18.8%,BOS,2,2,0,0,-7
187,DAL,12/08/2017,48,53.3%,0.34700000000000003,12.7,10.8%,50.6%,0.43,10.3,17.9%,MIL,2,2,0,0,-7
188,DAL,12/10/2017,48,52.5%,0.111,12.2,14.3%,54.9%,0.319,19.8,25.0%,MIN,2,4,0,0,-5
189,DEN,10/18/2017,48,55.2%,0.156,22.6,18.9%,56.2%,0.198,15.5,16.2%,UTA,0,0,0,0,-10
190,DEN,10/21/2017,48,49.4%,0.235,17.4,40.0%,41.2%,0.153,15.1,23.1%,SAC,3,1,1,1,17
191,DEN,10/23/2017,48,53.8%,0.28800000000000003,22.1,24.3%,49.4%,0.33299999999999996,14.8,22.2%,WAS,2,3,0,1,-5
192,DEN,10/25/2017,48,42.0%,0.15,13.6,31.0%,54.9%,0.321,14.5,23.3%,CHA,2,2,0,0,-17
193,DEN,10/27/2017,48,48.4%,0.253,11.8,25.6%,49.4%,0.135,12.6,23.9%,ATL,2,1,1,0,5
194,DEN,10/29/2017,48,55.9%,0.23399999999999999,5.7,9.3%,46.9%,0.32299999999999995,13.9,28.8%,BKN,2,2,1,0,13
195,DEN,10/30/2017,48,51.8%,0.365,13.2,25.5%,57.9%,0.28,22.1,32.4%,NYK,1,1,0,0,-6
196,DEN,11/01/2017,48,62.5%,0.33,11.6,23.7%,55.9%,0.294,13.9,20.9%,TOR,2,2,1,1,18
197,DEN,11/03/2017,48,50.6%,0.313,17.9,28.3%,56.5%,0.14300000000000002,23.8,22.2%,MIA,2,2,1,1,1
